Soil Moisture,temperature,Humidity,ph,rainfall,N,P,K
50,20,59.83,,,,,
19,43,60.52,,,,,
23,17,62.14,,,,,
57,31,63.75,,,,,
84,12,64.3,,,,,
88,42,64.84,,,,,
54,28,66.93,,,,,
86,40,69.02,,,,,
40,32,70.16,,,,,
46,9,71.31,,,,,
58,26,72.1,,,,,
89,20,72.88,,,,,
34,16,72.84,,,,,
17,28,72.81,,,,,
59,32,73.12,,,,,
54,21,73.42,,,,,
5,26,73.78,,,,,
43,43,74.13,,,,,
67,36,75.88,,,,,
16,40,77.64,,,,,
86,0,78.06,,,,,
1,25,78.47,,,,,
69,18,77.87,,,,,
11,34,77.27,,,,,
44,42,77.76,,,,,
43,6,78.24,,,,,
55,21,78.91,,,,,
46,41,79.58,,,,,
13,14,80.76,,,,,
42,25,81.94,,,,,
21,36,83.53,,,,,
12,29,85.12,,,,,
18,0,85.83,,,,,
16,26,86.53,,,,,
36,3,87.24,,,,,
53,41,88.43,,,,,
19,24,89.62,,,,,
83,18,90.79,,,,,
79,12,91.96,,,,,
33,39,92.99,,,,,
89,26,94.02,,,,,
33,9,94.76,,,,,
6,20,95.49,,,,,
71,5,95.74,,,,,
8,26,96,,,,,
67,5,96,,,,,
25,41,96,,,,,
2,33,96,,,,,
6,2,96,,,,,
82,25,96,,,,,
75,2,96,,,,,
33,32,96,,,,,
56,44,96,,,,,
36,31,96,,,,,
73,16,96,,,,,
71,8,96,,,,,
24,37,96,,,,,
69,35,96,,,,,
76,39,96,,,,,
61,7,96,,,,,
7,2,96,,,,,
24,24,96,,,,,
61,26,96,,,,,
84,22,96,,,,,
39,30,96,,,,,
60,7,96,,,,,
25,28,96,,,,,
41,36,96,,,,,
63,11,96,,,,,
78,38,96,,,,,
84,21,96,,,,,
25,25,96,,,,,
8,1,96,,,,,
18,37,96,,,,,
29,39,96,,,,,
74,24,96,,,,,
80,24,96,,,,,
40,0,96,,,,,
19,25,96,,,,,
30,33,96,,,,,
3,30,96,,,,,
72,1,96,,,,,
1,28,96,,,,,
55,20,96,,,,,
30,25,96,,,,,
4,35,96,,,,,
42,36,96,,,,,
16,40,96,,,,,
15,15,96,,,,,
51,36,96,,,,,
42,24,96,,,,,
32,32,96,,,,,
70,29,96,,,,,
17,1,96,,,,,
25,16,96,,,,,
17,9,96,,,,,
35,18,96,,,,,
5,10,96,,,,,
72,22,96,,,,,
85,29,96,,,,,
43,30,96,,,,,
71,22,96,,,,,
77,3,96,,,,,
42,43,96,,,,,
23,7,96,,,,,
76,14,96,,,,,
4,32,96,,,,,
19,10,96,,,,,
51,31,96,,,,,
78,18,96,,,,,
36,17,96,,,,,
72,15,96,,,,,
61,1,96,,,,,
26,2,96,,,,,
51,40,96,,,,,
9,8,96,,,,,
78,28,96,,,,,
52,9,96,,,,,
44,41,96,,,,,
63,38,96,,,,,
75,14,96,,,,,
81,15,96,,,,,
75,8,96,,,,,
85,13,96,,,,,
87,14,96,,,,,
33,36,96,,,,,
31,8,96,,,,,
24,43,96,,,,,
30,40,96,,,,,
40,5,96,,,,,
58,6,96,,,,,
89,10,96,,,,,
48,36,96,,,,,
20,15,96,,,,,
89,25,96,,,,,
80,20,96,,,,,
46,13,96,,,,,
66,37,96,,,,,
73,9,96,,,,,
53,31,96,,,,,
16,42,96,,,,,
21,6,96,,,,,
80,8,96,,,,,
7,41,96,,,,,
21,8,96,,,,,
72,12,96,,,,,
57,15,96,,,,,
86,3,96,,,,,
60,16,96,,,,,
29,35,96,,,,,
29,20,96,,,,,
51,16,96,,,,,
45,18,96,,,,,
16,5,96,,,,,
24,14,96,,,,,
1,41,96,,,,,
85,5,96,,,,,
89,36,96,,,,,
88,16,96,,,,,
77,32,96,,,,,
55,40,96,,,,,
1,37,96,,,,,
68,24,96,,,,,
2,18,96,,,,,
78,22,96,,,,,
70,38,96,,,,,
58,22,96,,,,,
3,43,96,,,,,
37,18,96,,,,,
28,13,96,,,,,
80,39,96,,,,,
64,2,96,,,,,
48,11,96,,,,,
20,11,96,,,,,
15,2,96,,,,,
70,1,96,,,,,
9,17,96,,,,,
38,20,96,,,,,
63,14,96,,,,,
56,28,96,,,,,
6,45,96,,,,,
45,23,96,,,,,
42,36,96,,,,,
51,36,96,,,,,
8,21,96,,,,,
54,18,96,,,,,
73,4,96,,,,,
75,45,96,,,,,
31,4,96,,,,,
22,9,95.96,,,,,
73,40,95.91,,,,,
59,27,93.18,,,,,
12,4,90.44,,,,,
15,36,87.24,,,,,
33,45,84.04,,,,,
22,22,80.68,,,,,
59,12,77.32,,,,,
76,10,75.2,,,,,
79,43,73.07,,,,,
60,27,70.95,,,,,
72,31,68.83,,,,,
65,35,65.96,,,,,
69,21,63.1,,,,,
63,2,61.61,,,,,
69,28,60.12,,,,,
88,11,58.53,,,,,
52,34,56.94,,,,,
46,37,55.54,,,,,
31,40,54.15,,,,,
28,2,52.91,,,,,
51,36,51.67,,,,,
19,31,50.56,,,,,
21,44,49.46,,,,,
66,19,49.19,,,,,
5,25,48.92,,,,,
68,45,48.65,,,,,
27,34,48.38,,,,,
8,37,47.17,,,,,
63,39,45.96,,,,,
51,27,45.84,,,,,
61,13,45.73,,,,,
83,26,46.18,,,,,
51,40,46.63,,,,,
14,13,46.74,,,,,
46,31,46.85,,,,,
13,45,47.06,,,,,
70,20,47.27,,,,,
2,23,47.22,,,,,
62,1,47.18,,,,,
74,4,47.26,,,,,
41,8,47.34,,,,,
67,37,47.06,,,,,
90,45,46.79,,,,,
55,1,47.47,,,,,
25,4,48.16,,,,,
49,29,48.84,,,,,
18,21,48.44,,,,,
73,28,48.05,,,,,
59,43,47.86,,,,,
83,20,47.68,,,,,
19,6,47.73,,,,,
48,13,47.78,,,,,
58,18,48.01,,,,,
6,11,48.25,,,,,
14,17,48.48,,,,,
10,2,48.71,,,,,
17,44,48.95,,,,,
2,18,49.18,,,,,
76,24,49.42,,,,,
28,11,49.65,,,,,
35,22,49.88,,,,,
1,18,50.12,,,,,
32,29,50.35,,,,,
26,31,50.58,,,,,
55,16,50.82,,,,,
57,22,51.05,,,,,
33,19,51.28,,,,,
19,39,51.52,,,,,
46,2,51.75,,,,,
77,4,51.98,,,,,
82,28,52.22,,,,,
49,11,52.45,,,,,
21,13,52.69,,,,,
9,42,52.92,,,,,
74,1,53.15,,,,,
2,17,53.39,,,,,
63,37,53.62,,,,,
68,43,53.85,,,,,
38,4,54.09,,,,,
9,17,54.32,,,,,
64,21,54.55,,,,,
5,41,54.79,,,,,
2,34,55.02,,,,,
38,0,55.26,,,,,
41,26,55.49,,,,,
55,17,55.72,,,,,
23,9,55.96,,,,,
3,29,56.19,,,,,
39,2,56.9,,,,,
25,32,57.61,,,,,
80,13,58.32,,,,,
34,39,59.03,,,,,
85,38,59.74,,,,,
36,31,60.45,,,,,
35,33,61.21,,,,,
17,14,61.96,,,,,
77,22,62.54,,,,,
56,16,63.11,,,,,
46,22,63.68,,,,,
78,37,64.26,,,,,
79,42,64.91,,,,,
43,32,65.57,,,,,
1,2,66.09,,,,,
1,37,66.61,,,,,
84,32,67.05,,,,,
88,30,67.49,,,,,
28,6,67.84,,,,,
51,7,68.18,,,,,
62,29,69.19,,,,,
60,5,70.21,,,,,
13,32,70.63,,,,,
69,38,71.06,,,,,
78,18,71.53,,,,,
24,14,72,,,,,
9,32,72.64,,,,,
31,11,73.28,,,,,
34,12,74.13,,,,,
42,10,74.99,,,,,
78,37,76.08,,,,,
14,1,77.17,,,,,
33,3,78.26,,,,,
77,21,79.35,,,,,
15,27,80.27,,,,,
50,22,81.2,,,,,
75,18,82.12,,,,,
22,2,83.05,,,,,
34,44,84.18,,,,,
3,17,85.32,,,,,
71,41,86.22,,,,,
81,23,87.12,,,,,
27,5,88.23,,,,,
21,44,89.34,,,,,
76,1,90.44,,,,,
45,13,91.54,,,,,
46,15,92.5,,,,,
25,10,93.47,,,,,
60,38,94.31,,,,,
44,18,95.15,,,,,
44,0,95.57,,,,,
14,0,95.99,,,,,
40,23,96,,,,,
46,20,96,,,,,
44,18,96,,,,,
59,22,96,,,,,
47,4,96,,,,,
51,6,96,,,,,
7,21,96,,,,,
16,27,96,,,,,
68,21,96,,,,,
43,16,96,,,,,
48,2,96,,,,,
37,10,96,,,,,
62,23,96,,,,,
35,41,96,,,,,
60,45,96,,,,,
31,0,96,,,,,
41,4,96,,,,,
20,24,96,,,,,
2,26,96,,,,,
69,43,96,,,,,
88,39,96,,,,,
58,31,96,,,,,
1,6,96,,,,,
41,44,96,,,,,
19,3,96,,,,,
79,36,96,,,,,
32,31,96,,,,,
20,27,96,,,,,
14,38,96,,,,,
66,35,96,,,,,
88,32,96,,,,,
76,15,96,,,,,
7,17,96,,,,,
61,4,96,,,,,
31,24,96,,,,,
38,31,96,,,,,
27,22,96,,,,,
86,15,96,,,,,
87,15,96,,,,,
1,21,96,,,,,
46,37,96,,,,,
51,0,96,,,,,
12,7,96,,,,,
67,22,96,,,,,
10,37,96,,,,,
51,36,96,,,,,
75,19,96,,,,,
65,14,96,,,,,
86,12,96,,,,,
60,1,96,,,,,
69,30,96,,,,,
25,43,96,,,,,
66,21,96,,,,,
82,7,96,,,,,
2,37,96,,,,,
42,1,96,,,,,
30,15,96,,,,,
23,31,96,,,,,
23,20,96,,,,,
51,19,96,,,,,
35,6,96,,,,,
7,43,96,,,,,
51,13,96,,,,,
51,23,96,,,,,
39,22,96,,,,,
80,11,96,,,,,
5,0,96,,,,,
84,43,96,,,,,
14,1,96,,,,,
76,25,96,,,,,
50,26,96,,,,,
73,20,96,,,,,
79,32,96,,,,,
84,16,96,,,,,
77,21,96,,,,,
68,22,96,,,,,
19,24,96,,,,,
27,13,96,,,,,
27,2,96,,,,,
13,25,96,,,,,
83,26,96,,,,,
49,29,96,,,,,
64,3,96,,,,,
59,13,96,,,,,
32,36,96,,,,,
58,32,96,,,,,
40,30,96,,,,,
52,39,96,,,,,
82,26,96,,,,,
89,24,96,,,,,
24,27,96,,,,,
40,29,96,,,,,
15,10,96,,,,,
71,25,96,,,,,
34,39,96,,,,,
65,16,96,,,,,
34,43,96,,,,,
9,2,96,,,,,
4,44,96,,,,,
14,31,96,,,,,
1,42,96,,,,,
36,31,96,,,,,
7,2,96,,,,,
56,32,96,,,,,
11,7,96,,,,,
55,29,96,,,,,
74,34,96,,,,,
40,44,96,,,,,
55,4,96,,,,,
25,3,96,,,,,
89,36,96,,,,,
90,37,96,,,,,
59,24,96,,,,,
77,11,96,,,,,
52,28,96,,,,,
39,25,96,,,,,
66,12,96,,,,,
90,6,96,,,,,
42,42,96,,,,,
63,37,96,,,,,
29,36,96,,,,,
65,14,96,,,,,
71,9,96,,,,,
2,24,96,,,,,
59,44,96,,,,,
60,32,96,,,,,
16,16,96,,,,,
44,21,96,,,,,
25,7,96,,,,,
51,11,96,,,,,
14,6,96,,,,,
9,5,96,,,,,
27,39,96,,,,,
83,2,96,,,,,
87,43,96,,,,,
11,6,96,,,,,
50,0,96,,,,,
49,13,96,,,,,
41,29,96,,,,,
42,7,96,,,,,
89,9,96,,,,,
17,28,96,,,,,
21,33,96,,,,,
49,29,96,,,,,
75,10,96,,,,,
76,40,96,,,,,
5,20,95.11,,,,,
2,3,94.22,,,,,
75,0,93.33,,,,,
20,45,91.92,,,,,
30,19,90.51,,,,,
82,1,85.15,,,,,
24,35,79.79,,,,,
56,17,78.77,,,,,
46,34,77.75,,,,,
62,31,76,,,,,
8,29,74.25,,,,,
86,27,72.4,,,,,
49,42,70.55,,,,,
15,42,68.72,,,,,
90,13,66.89,,,,,
41,38,65.84,,,,,
55,18,64.79,,,,,
9,34,64.46,,,,,
12,24,64.12,,,,,
47,10,62.57,,,,,
86,25,61.02,,,,,
55,36,59.26,,,,,
72,32,57.5,,,,,
63,45,56.72,,,,,
56,16,55.93,,,,,
22,31,54.76,,,,,
45,39,53.58,,,,,
22,18,53.21,,,,,
19,16,52.84,,,,,
42,37,54.14,,,,,
32,3,55.43,,,,,
8,34,54.75,,,,,
78,1,54.07,,,,,
2,28,53.7,,,,,
86,4,53.33,,,,,
24,42,52.86,,,,,
19,0,52.38,,,,,
66,7,52.22,,,,,
30,10,52.07,,,,,
63,5,51.94,,,,,
39,40,51.81,,,,,
18,15,52.36,,,,,
59,28,52.91,,,,,
11,31,51.6,,,,,
19,20,50.29,,,,,
71,2,50.74,,,,,
71,32,51.18,,,,,
29,33,51.1,,,,,
6,15,51.01,,,,,
80,25,51.5,,,,,
41,13,51.99,,,,,
26,45,51.95,,,,,
87,32,51.91,,,,,
1,39,51.36,,,,,
2,23,50.82,,,,,
19,31,51.32,,,,,
90,15,51.81,,,,,
9,35,51.5,,,,,
79,43,51.18,,,,,
27,45,51.94,,,,,
38,27,52.7,,,,,
2,14,53.34,,,,,
39,15,53.97,,,,,
81,10,54.3,,,,,
6,10,54.62,,,,,
57,30,55.06,,,,,
17,6,55.51,,,,,
6,1,55.93,,,,,
15,4,56.35,,,,,
7,24,55.5,,,,,
44,0,54.66,,,,,
81,0,55.06,,,,,
57,11,55.47,,,,,
75,37,55.82,,,,,
52,20,56.17,,,,,
11,13,56.62,,,,,
84,22,57.07,,,,,
33,37,57.84,,,,,
62,44,58.62,,,,,
16,41,57.87,,,,,
89,3,57.12,,,,,
28,35,57.57,,,,,
52,21,58.02,,,,,
66,18,57.9,,,,,
3,34,57.78,,,,,
31,29,59.08,,,,,
19,28,60.39,,,,,
24,24,60.9,,,,,
48,29,61.4,,,,,
17,31,61.08,,,,,
63,28,60.75,,,,,
54,14,60.98,,,,,
89,23,61.21,,,,,
42,35,61.9,,,,,
34,12,62.59,,,,,
39,25,62.98,,,,,
10,25,63.38,,,,,
30,35,63.86,,,,,
33,30,64.33,,,,,
36,26,64.59,,,,,
39,28,64.84,,,,,
44,9,65.24,,,,,
8,23,65.64,,,,,
83,4,66.66,,,,,
38,27,67.67,,,,,
86,44,68.06,,,,,
4,36,68.45,,,,,
75,27,68.26,,,,,
36,37,68.06,,,,,
50,29,68.68,,,,,
24,1,69.3,,,,,
61,6,70.77,,,,,
42,3,72.24,,,,,
54,27,72.79,,,,,
28,1,73.34,,,,,
74,0,73.89,,,,,
51,31,74.44,,,,,
29,44,75.54,,,,,
26,35,76.65,,,,,
66,13,77.47,,,,,
23,37,78.29,,,,,
55,38,79.06,,,,,
35,43,79.82,,,,,
74,28,80.64,,,,,
3,30,81.46,,,,,
76,45,82.51,,,,,
13,24,83.57,,,,,
62,31,84.38,,,,,
54,43,85.2,,,,,
33,45,86.08,,,,,
72,20,86.96,,,,,
6,7,88.04,,,,,
4,33,89.13,,,,,
60,3,90.38,,,,,
14,17,91.62,,,,,
27,41,92.71,,,,,
77,43,93.8,,,,,
48,39,94.62,,,,,
34,16,95.45,,,,,
41,26,95.72,,,,,
67,45,96,,,,,
88,35,96,,,,,
62,43,96,,,,,
1,25,96,,,,,
78,0,96,,,,,
60,12,96,,,,,
15,20,96,,,,,
75,34,96,,,,,
43,25,96,,,,,
59,42,96,,,,,
46,43,96,,,,,
60,29,96,,,,,
57,17,96,,,,,
51,31,96,,,,,
70,10,96,,,,,
18,22,96,,,,,
1,42,96,,,,,
28,7,96,,,,,
12,40,96,,,,,
2,44,96,,,,,
66,25,96,,,,,
87,20,96,,,,,
90,19,96,,,,,
79,19,96,,,,,
56,17,96,,,,,
87,20,96,,,,,
58,30,96,,,,,
83,35,96,,,,,
17,38,96,,,,,
78,7,96,,,,,
55,35,96,,,,,
37,1,96,,,,,
78,20,96,,,,,
61,43,96,,,,,
73,31,96,,,,,
70,43,96,,,,,
57,36,96,,,,,
15,24,96,,,,,
80,36,96,,,,,
76,20,96,,,,,
76,30,96,,,,,
26,27,96,,,,,
69,31,96,,,,,
12,3,96,,,,,
57,32,96,,,,,
17,12,96,,,,,
82,9,96,,,,,
71,40,96,,,,,
45,9,96,,,,,
3,23,96,,,,,
7,37,96,,,,,
73,6,96,,,,,
18,10,96,,,,,
28,27,96,,,,,
59,45,96,,,,,
55,10,96,,,,,
63,12,96,,,,,
20,6,96,,,,,
45,44,96,,,,,
44,23,96,,,,,
48,24,96,,,,,
7,31,96,,,,,
38,38,96,,,,,
76,44,96,,,,,
2,32,96,,,,,
54,25,96,,,,,
82,21,96,,,,,
71,15,96,,,,,
89,44,96,,,,,
82,26,96,,,,,
46,18,96,,,,,
32,27,96,,,,,
12,32,96,,,,,
46,18,96,,,,,
45,7,96,,,,,
65,25,96,,,,,
64,28,96,,,,,
62,40,96,,,,,
59,19,96,,,,,
58,39,96,,,,,
43,26,96,,,,,
60,10,96,,,,,
18,36,96,,,,,
81,10,96,,,,,
38,38,96,,,,,
4,10,96,,,,,
57,39,96,,,,,
55,8,96,,,,,
64,39,96,,,,,
55,22,96,,,,,
10,8,96,,,,,
30,33,96,,,,,
16,42,96,,,,,
74,2,96,,,,,
26,7,96,,,,,
71,16,96,,,,,
84,32,96,,,,,
15,11,96,,,,,
1,26,96,,,,,
49,3,96,,,,,
90,26,96,,,,,
7,34,96,,,,,
66,14,96,,,,,
80,45,96,,,,,
46,15,96,,,,,
68,44,96,,,,,
67,3,96,,,,,
70,10,96,,,,,
65,24,96,,,,,
31,36,96,,,,,
69,13,96,,,,,
85,14,96,,,,,
55,25,96,,,,,
2,28,96,,,,,
56,26,96,,,,,
3,43,96,,,,,
12,9,96,,,,,
35,9,96,,,,,
73,24,96,,,,,
6,1,96,,,,,
45,24,96,,,,,
90,13,96,,,,,
38,5,96,,,,,
82,8,96,,,,,
9,39,96,,,,,
43,9,96,,,,,
75,20,96,,,,,
58,37,96,,,,,
20,35,96,,,,,
2,38,96,,,,,
54,43,96,,,,,
77,26,96,,,,,
85,43,96,,,,,
83,18,96,,,,,
82,2,96,,,,,
55,31,96,,,,,
87,10,96,,,,,
61,31,96,,,,,
13,22,96,,,,,
44,25,96,,,,,
23,27,96,,,,,
73,18,96,,,,,
29,41,96,,,,,
8,31,96,,,,,
23,15,96,,,,,
38,8,96,,,,,
33,35,96,,,,,
60,15,96,,,,,
52,32,96,,,,,
57,3,96,,,,,
48,22,96,,,,,
40,11,96,,,,,
32,13,95.68,,,,,
76,45,95.35,,,,,
64,11,90.48,,,,,
34,8,85.62,,,,,
14,29,81.31,,,,,
37,3,76.99,,,,,
4,2,75.53,,,,,
66,25,74.07,,,,,
61,40,73.31,,,,,
83,15,72.54,,,,,
14,42,70.21,,,,,
21,16,67.87,,,,,
73,45,66.58,,,,,
8,2,65.29,,,,,
11,42,63.96,,,,,
4,32,62.63,,,,,
31,44,61.08,,,,,
22,45,59.52,,,,,
12,12,59.6,,,,,
85,26,59.68,,,,,
71,43,59.26,,,,,
84,20,58.85,,,,,
88,34,58.21,,,,,
13,40,57.57,,,,,
24,27,56.72,,,,,
19,14,55.86,,,,,
76,17,55.57,,,,,
44,18,55.28,,,,,
8,2,55.44,,,,,
50,8,55.59,,,,,
50,19,54.76,,,,,
58,21,53.92,,,,,
73,26,53.12,,,,,
74,16,52.33,,,,,
56,9,51.84,,,,,
88,7,51.36,,,,,
51,36,50.86,,,,,
73,21,50.36,,,,,
9,37,50,,,,,
18,43,49.63,,,,,
59,23,49.36,,,,,
73,37,49.08,,,,,
62,32,48.88,,,,,
27,1,48.68,,,,,
88,7,49.18,,,,,
1,11,49.68,,,,,
5,31,49.15,,,,,
67,41,48.62,,,,,
79,40,48.39,,,,,
4,22,48.16,,,,,
3,9,48.19,,,,,
11,22,48.23,,,,,
42,18,48.12,,,,,
43,10,48.02,,,,,
4,35,47.94,,,,,
24,13,47.85,,,,,
86,33,48.37,,,,,
56,13,48.89,,,,,
76,44,48.34,,,,,
32,30,47.8,,,,,
47,37,48.06,,,,,
83,8,48.33,,,,,
2,26,48.62,,,,,
52,32,48.91,,,,,
53,40,48.91,,,,,
30,44,48.91,,,,,
78,16,49.46,,,,,
16,8,50,,,,,
51,30,50.68,,,,,
73,15,51.35,,,,,
28,26,52.78,,,,,
25,44,54.21,,,,,
74,35,54.55,,,,,
4,33,54.89,,,,,
48,0,54.3,,,,,
9,43,53.7,,,,,
86,28,54.19,,,,,
18,44,54.68,,,,,
10,19,54.54,,,,,
17,21,54.39,,,,,
5,23,55.44,,,,,
34,4,56.48,,,,,
80,22,56.97,,,,,
82,28,57.46,,,,,
46,13,57.62,,,,,
56,37,57.79,,,,,
83,24,58.26,,,,,
28,25,58.73,,,,,
70,45,59.21,,,,,
13,33,59.69,,,,,
89,31,60.84,,,,,
45,17,61.99,,,,,
52,39,62.21,,,,,
86,44,62.43,,,,,
21,22,63.58,,,,,
70,23,64.72,,,,,
80,24,65,,,,,
27,13,65.27,,,,,
62,42,66.04,,,,,
88,23,66.8,,,,,
34,16,66.39,,,,,
50,1,65.98,,,,,
22,44,66.65,,,,,
23,4,67.31,,,,,
21,29,67.68,,,,,
74,10,68.05,,,,,
31,42,68.48,,,,,
70,39,68.91,,,,,
41,44,69.03,,,,,
1,42,69.15,,,,,
73,14,70.02,,,,,
4,27,70.89,,,,,
71,11,71.66,,,,,
88,10,72.44,,,,,
50,2,72.8,,,,,
19,27,73.15,,,,,
77,1,73.45,,,,,
18,26,73.75,,,,,
89,14,73.75,,,,,
14,11,73.75,,,,,
8,13,73.75,,,,,
8,4,74.28,,,,,
83,11,74.82,,,,,
74,22,75.55,,,,,
88,37,76.28,,,,,
5,11,77.04,,,,,
14,43,77.79,,,,,
57,23,79.36,,,,,
89,2,80.92,,,,,
12,20,82.81,,,,,
24,29,84.7,,,,,
31,16,85.88,,,,,
40,22,87.05,,,,,
64,39,88.16,,,,,
36,6,89.28,,,,,
48,10,90.24,,,,,
37,0,91.21,,,,,
53,9,91.96,,,,,
16,23,92.72,,,,,
38,0,93.4,,,,,
34,18,94.07,,,,,
61,3,94.66,,,,,
11,29,95.25,,,,,
13,3,95.59,,,,,
60,4,95.93,,,,,
28,31,95.95,,,,,
85,7,95.96,,,,,
49,29,95.98,,,,,
82,14,96,,,,,
75,0,96,,,,,
86,18,96,,,,,
88,31,96,,,,,
57,16,96,,,,,
70,31,96,,,,,
63,42,96,,,,,
38,3,96,,,,,
67,43,96,,,,,
82,44,96,,,,,
73,33,96,,,,,
13,42,96,,,,,
34,43,96,,,,,
86,3,96,,,,,
50,9,96,,,,,
63,37,96,,,,,
38,35,96,,,,,
68,32,96,,,,,
52,20,96,,,,,
44,15,96,,,,,
40,30,96,,,,,
53,38,96,,,,,
44,8,96,,,,,
7,2,96,,,,,
67,18,96,,,,,
59,43,96,,,,,
73,41,96,,,,,
9,10,96,,,,,
10,2,96,,,,,
89,13,96,,,,,
46,37,96,,,,,
29,20,96,,,,,
47,26,96,,,,,
57,16,96,,,,,
4,45,96,,,,,
59,2,96,,,,,
9,40,96,,,,,
67,39,96,,,,,
87,39,96,,,,,
76,19,96,,,,,
51,13,96,,,,,
69,37,96,,,,,
17,29,96,,,,,
10,11,96,,,,,
55,18,96,,,,,
35,12,96,,,,,
4,8,96,,,,,
49,36,96,,,,,
63,36,96,,,,,
4,6,96,,,,,
81,9,96,,,,,
64,15,96,,,,,
22,18,96,,,,,
81,38,96,,,,,
22,39,96,,,,,
44,41,96,,,,,
14,3,96,,,,,
21,17,96,,,,,
55,27,96,,,,,
15,20,96,,,,,
12,21,96,,,,,
31,4,96,,,,,
19,36,96,,,,,
88,37,96,,,,,
11,38,96,,,,,
19,12,96,,,,,
14,45,96,,,,,
83,43,96,,,,,
66,10,96,,,,,
37,40,96,,,,,
42,37,96,,,,,
24,36,96,,,,,
3,28,96,,,,,
68,40,96,,,,,
28,44,96,,,,,
40,20,96,,,,,
46,11,96,,,,,
66,3,96,,,,,
12,5,96,,,,,
43,3,96,,,,,
42,36,96,,,,,
23,28,96,,,,,
25,0,96,,,,,
45,18,96,,,,,
52,35,96,,,,,
62,9,96,,,,,
82,27,96,,,,,
7,22,96,,,,,
64,34,96,,,,,
82,7,96,,,,,
20,40,96,,,,,
6,6,96,,,,,
2,42,96,,,,,
35,6,96,,,,,
39,11,96,,,,,
9,34,96,,,,,
71,13,96,,,,,
7,18,96,,,,,
78,42,96,,,,,
34,28,96,,,,,
45,43,96,,,,,
18,38,96,,,,,
56,20,96,,,,,
20,42,96,,,,,
17,34,96,,,,,
1,25,96,,,,,
26,42,96,,,,,
56,42,96,,,,,
68,26,96,,,,,
19,3,96,,,,,
78,24,96,,,,,
73,2,96,,,,,
40,42,96,,,,,
16,17,96,,,,,
41,26,96,,,,,
14,13,96,,,,,
87,10,96,,,,,
28,8,96,,,,,
43,10,96,,,,,
74,9,96,,,,,
55,11,96,,,,,
57,8,96,,,,,
8,41,96,,,,,
34,41,96,,,,,
89,14,96,,,,,
18,3,96,,,,,
84,4,96,,,,,
54,35,96,,,,,
1,44,96,,,,,
79,2,96,,,,,
44,7,96,,,,,
55,29,95.95,,,,,
48,30,95.9,,,,,
67,5,93.96,,,,,
70,38,92.03,,,,,
87,41,89.56,,,,,
26,25,87.1,,,,,
58,4,86.1,,,,,
11,22,85.11,,,,,
24,32,83.9,,,,,
66,19,82.68,,,,,
18,30,81.49,,,,,
43,14,80.29,,,,,
72,30,79.1,,,,,
81,21,78.23,,,,,
66,6,77.36,,,,,
84,5,75.72,,,,,
36,23,74.09,,,,,
82,27,73.58,,,,,
56,27,73.06,,,,,
54,1,71.86,,,,,
79,13,70.66,,,,,
41,27,69.76,,,,,
65,4,68.86,,,,,
84,24,68.26,,,,,
18,21,67.65,,,,,
81,42,66.81,,,,,
78,35,65.96,,,,,
73,7,65.44,,,,,
89,22,64.91,,,,,
3,35,63.69,,,,,
28,20,62.47,,,,,
59,12,61.27,,,,,
65,26,60.07,,,,,
5,36,58.78,,,,,
60,7,57.49,,,,,
38,6,57.74,,,,,
78,18,57.99,,,,,
22,29,57.78,,,,,
48,41,57.57,,,,,
58,12,57.16,,,,,
47,22,56.76,,,,,
34,6,56.24,,,,,
52,11,55.72,,,,,
1,45,55.56,,,,,
35,19,55.41,,,,,
89,35,54.88,,,,,
86,35,54.35,,,,,
45,21,53.58,,,,,
27,43,52.81,,,,,
47,7,51.84,,,,,
83,37,50.87,,,,,
28,19,50.82,,,,,
9,13,50.76,,,,,
86,37,50.71,,,,,
85,15,50.66,,,,,
56,7,50.82,,,,,
18,18,50.98,,,,,
50,34,50.46,,,,,
15,15,49.94,,,,,
22,43,50.38,,,,,
26,44,50.83,,,,,
59,2,50.82,,,,,
62,19,50.82,,,,,
55,14,51.2,,,,,
9,34,51.58,,,,,
11,10,50.96,,,,,
54,2,50.35,,,,,
6,1,50.33,,,,,
5,2,50.31,,,,,
22,29,50.04,,,,,
21,22,49.76,,,,,
58,19,49.99,,,,,
13,21,50.22,,,,,
44,13,49.96,,,,,
62,44,49.71,,,,,
40,9,49.99,,,,,
19,22,50.27,,,,,
77,9,51.17,,,,,
25,9,52.07,,,,,
26,26,52.43,,,,,
22,39,52.79,,,,,
86,39,53.68,,,,,
81,16,54.56,,,,,
89,33,55.17,,,,,
79,15,55.77,,,,,
80,18,55.81,,,,,
68,44,55.85,,,,,
63,34,56.18,,,,,
53,13,56.51,,,,,
86,10,57.75,,,,,
12,8,58.99,,,,,
5,37,59.6,,,,,
35,30,60.2,,,,,
47,28,60.52,,,,,
23,44,60.83,,,,,
2,16,61.6,,,,,
17,15,62.37,,,,,
78,37,62.54,,,,,
15,45,62.72,,,,,
9,44,63.32,,,,,
25,5,63.92,,,,,
57,6,64.15,,,,,
22,40,64.38,,,,,
14,8,64.84,,,,,
64,14,65.31,,,,,
55,15,65.8,,,,,
27,2,66.29,,,,,
76,2,66.32,,,,,
70,13,66.34,,,,,
33,38,67.15,,,,,
44,7,67.96,,,,,
57,6,68.69,,,,,
20,33,69.42,,,,,
19,40,70.4,,,,,
9,21,71.37,,,,,
8,10,72.21,,,,,
